periodo_id,label,start_year,end_year,abr_code,abr_code_legacy,abr_code_legacy_additional,additional_label1,additional_label2,additional_label3,additional_label4,additional_label5,additional_label6,additional_label7,additional_label8,english_label1,english_label2
p0qhb66d7sn,Vroege Middeleeuwen A,450,524,MEVA,VMEA,,Middeleeuwen vroeg A,,,,,,,,,
p0qhb664q3k,Vroege Middeleeuwen B,525,724,MEVB,VMEB,,Merovingisch,Middeleeuwen vroeg B,,,,,,,,
p0qhb66zbrp,Vroege Middeleeuwen C,725,899,MEVC,VMEC,,Karolingisch,Middeleeuwen vroeg C,,,,,,,,
p0qhb669pvx,Hoge Middeleeuwen,900,1249,MEVOL,MIDVL,MIDHG,Hoog Middeleeuws,Volle Middeleeuwen,,,,,,,,
p0qhb66h2p5,Vroege Middeleeuwen D,900,1049,MEVD,VMED,,Ottoons,Middeleeuwen vroeg D,,,,,,,,
p0qhb66kbkr,Late Middeleeuwen,1050,1499,MEL,LME,,Laat Middeleeuws,Middeleeuwen laat,late middeleeuwse,,,,,,,
p0qhb66m48r,Late Middeleeuwen A,1050,1249,MELA,LMEA,,Salisch,Middeleeuwen laat A,,,,,,,,
p0qhb66v74w,Late Middeleeuwen B,1250,1499,MELB,LMEB,,Middeleeuwen laat B,,,,,,,,,
,Bourgondische tijd,1384,1482,,,,Bourgondisch,,,,,,,,,
,Renaissance,1400,1600,,,,,,,,,,,,,
,Hapsburgse tijd,1482,1795,,,,Hapsburgs,,,,,,,,,
,Subrecent,1500,1945,,,,,,,,,,,,,
p0qhb66w8x7,Nieuwe Tijd,1500,1944,NT,,,,,,,,,,,,
,"Vroegmoderne Tijd",1500,1800,,,,Vroegmodern,Vroeg modern,,,,,,,,
p0qhb669hmk,Nieuwe Tijd Vroeg,1500,1649,NTV,NTA,,Vroege Nieuwe Tijd,Nieuwe tijd A,vroeg nieuwe tijd,,,,,,,
,Spaanse tijd,1556,1715,,,,Spaans,,,,,,,,,
,Tachtigjarige oorlog,1568,1648,,,,,,,,,,,,,
,Gouden eeuw,1600,1699,,,,,,,,,,,,,
p0qhb66c3n7,Nieuwe Tijd Midden,1650,1849,NTM,NTB,,Midden Nieuwe Tijd,Nieuwe tijd B,,,,,,,,
,Eerste Engels-Nederlandse Oorlog,1652,1654,,,,,,,,,,,,,
,Moderne tijd,1750,1945,,,,Modern,nieuwste tijd,,,,,,,,
,Franse tijd,1794,1814,,,,Frans,,,,,,,,,
p0qhb66w2n9,Nieuwe Tijd Laat,1850,1944,NTL,NTC,,Late Nieuwe Tijd,Nieuwe tijd C,laat nieuwe tijd,,,,,,,
,Eerste Wereldoorlog,1914,1918,,,,WOI,WO1,1e wereld oorlog,,,,,,,
,Interbellum,1918,1939,,,,,,,,,,,,,
p0qhb6676qp,Tweede Wereldoorlog,1940,1944,WO2,,,2e Wereld Oorlog,,,,,,,,,
p0qhb66d849,Recent,1945,2000,,,,heden,huidig,hedendaagse,,,,,,,
,oudtijdse,9999,9999,,,,,,,,,,,,,
,Schwieberdingen Groep,9999,9999,,,,,,,,,,,,,
,Aichbühl Cultuur,9999,9999,,,,,,,,,,,,,
,Laatste Tijd,9999,9999,,,,,,,,,,,,,
,Holdeurns,9999,9999,,,,,,,,,,,,,
,Provinciale tijd,9999,9999,,,,,,,,,,,,,
